tab delimited	er_locations
er_location_name	er_location_alternatives	location_type	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	continent_ocean	region	plate_block	tectonic_setting	er_citation_names
McMurdo	Mt Erebus Volcanic Province : McMurdo Sound	Outcrop	-77	160	-79	170	Antarctica	Antarctic Plate	Antarctic Plate	Continental Volcanics	This study
>>>>>>>>>>
tab delimited	er_sites
er_site_name	er_location_name	site_definition	site_class	site_lithology	site_type	site_lat	site_lon	er_citation_names
mc200	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	This study
mc201	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	This study
mc202	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	This study
mc203	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	This study
mc204	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	This study
mc205	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	This study
mc206	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	This study
mc207	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	This study
mc208	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	This study
mc209	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	This study
mc210	McMurdo	s	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	This study
mc211	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	This study
mc212	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	This study
mc213	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	This study
mc214	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	This study
mc215	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.4773	166.89491	This study
mc216	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.42391	166.81075	This study
mc217	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.50885	167.44064	This study
mc218	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.56218	166.97756	This study
mc219	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.84783	166.67453	This study
mc220	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.45702	166.91009	This study
mc221	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.5161	166.79804	This study
mc222	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.53893	166.84845	This study
mc223	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.65831	166.7863	This study
mc224	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.53046	166.8839	This study
mc225	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.58053	166.80156	This study
mc226	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.61355	166.76571	This study
mc227	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.27064	166.73278	This study
mc228	McMurdo	s	Igneous : Extrusive	Trachyte	Lava Flow	-77.2669	166.37738	This study
mc229	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.48281	167.15435	This study
>>>>>>>>>>
tab delimited	er_samples
er_sample_name	er_location_name	er_site_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_date	sample_orientation_flag	sample_azimuth	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	er_citation_names
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	5	2007:08:07:10:39:00.00	SAN						4					273				0.02				0				0	0						273							-11.2	14		0.000004958										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	6	2007:08:07:10:40:00.00	SAN						4					273				0.03				0				0	0						273							-11.2	15.3		0.000003966										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	7	2007:08:07:10:42:00.00	SAN						4					273				0.04				0				0	0						273							-11.9	15.2		0.000003161										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	8	2007:08:07:10:43:00.00	SAN						4					273				0.05				0				0	0						273							-11.5	14.7		0.000002473										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	9	2007:08:07:10:45:00.00	SAN						4					273				0.06				0				0	0						273							-11.6	14.2		0.000001866										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	10	2007:08:07:10:48:00.00	SAN						3					273				0.08				0				0	0						273							-12	14.5		0.000001077										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc204	mc204a	mc204a1				mc204a1-LP-DIR-AF	g	u	11	2007:08:07:10:49:00.00	SAN						4					273				0.1				0				0	0						273							-14.1	14.2		0.000000603										0.4						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	1	2007:09:11:07:40:00.00	SAN						4					273				0				0				0	0						273							-5.1	10.4		0.000008616										0.3						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	2	2007:09:11:07:55:00.00	SAN						4					273				0.005				0				0	0						273							-1.8	12.2		0.000006779										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	3	2007:09:11:07:57:00.00	SAN						4					273				0.01				0				0	0						273							-1.1	12		0.000005284										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	4	2007:09:11:07:59:00.00	SAN						4					273				0.015				0				0	0						273							-1.5	14.3		0.000004472										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	5	2007:09:11:08:01:00.00	SAN						4					273				0.02				0				0	0						273							-1.3	14.1		0.000003926										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	6	2007:09:11:08:03:00.00	SAN						4					273				0.03				0				0	0						273							-1.5	12.7		0.000003112										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	7	2007:09:11:08:04:00.00	SAN						4					273				0.04				0				0	0						273							-1.5	13.9		0.000002449										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	8	2007:09:11:08:06:00.00	SAN						4					273				0.05				0				0	0						273							-1.4	12.8		0.000001908										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	9	2007:09:11:08:08:00.00	SAN						4					273				0.06				0				0	0						273							-1.1	14.5		0.000001513										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	10	2007:09:11:08:10:00.00	SAN						4					273				0.08				0				0	0						273							0	14.8		0.0000008704										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	11	2007:09:11:08:13:00.00	SAN						3					273				0.1				0				0	0						273							1.4	13		0.0000004723										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc204	mc204c	mc204c1				mc204c1-LP-DIR-AF	g	u	12	2007:09:11:08:17:00.00	SAN						3					273				0.12				0				0	0						273							1.3	12.8		0.0000002964										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	1	2007:09:11:08:20:00.00	SAN						4					273				0				0				0	0						273							9	358.2		0.00001576										0.2						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	2	2007:09:11:09:56:00.00	SAN						4					278				0				0				0	0						273							11.8	0		0.00001098										0.2						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	3	2007:09:11:09:57:00.00	SAN						4					283				0				0				0	0						273							13.1	1.7		0.000008002										0.2						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	4	2007:09:11:09:59:00.00	SAN						4					273				0.015				0				0	0						273							12.8	2.4		0.000006447										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	5	2007:09:11:10:01:00.00	SAN						4					273				0.02				0				0	0						273							13.6	2.6		0.000005438										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	6	2007:09:11:10:02:00.00	SAN						4					273				0.03				0				0	0						273							13.1	2		0.00000425										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	7	2007:09:11:10:04:00.00	SAN						4					273				0.04				0				0	0						273							13.9	1.8		0.000003467										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	8	2007:09:11:10:07:00.00	SAN						4					273				0.05				0				0	0						273							14.2	2.2		0.000002831										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	9	2007:09:11:10:08:00.00	SAN						4					273				0.06				0				0	0						273							14.1	2.7		0.000002277										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	10	2007:09:11:10:10:00.00	SAN						4					273				0.08				0				0	0						273							15.2	2.7		0.000001422										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	11	2007:09:11:10:14:00.00	SAN						3					273				0.1				0				0	0						273							14.7	1.8		0.0000009008										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	12	2007:09:11:10:16:00.00	SAN						4					273				0.12				0				0	0						273							13.4	3.4		0.0000006297										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204h	mc204h1				mc204h1-LP-DIR-AF	g	u	13	2007:09:11:10:19:00.00	SAN						4					273				0.15				0				0	0						273							11.5	1.2		0.0000004347										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	1	2007:09:11:10:24:00.00	SAN						4					273				0				0				0	0						273							4.4	2.5		0.00001584										0.3						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	2	2007:09:11:12:23:00.00	SAN						4					273				0.005				0				0	0						273							6.2	2.8		0.00001128										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	3	2007:09:11:12:25:00.00	SAN						4					273				0.01				0				0	0						273							7.1	4.7		0.000008305										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	4	2007:09:11:12:28:00.00	SAN						4					273				0.015				0				0	0						273							7.5	4.7		0.000006842										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	5	2007:09:11:12:30:00.00	SAN						4					273				0.02				0				0	0						273							7.9	5		0.000005882										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	6	2007:09:11:12:35:00.00	SAN						4					273				0.03				0				0	0						273							7.9	4.2		0.000004646										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	7	2007:09:11:12:57:00.00	SAN						4					273				0.04				0				0	0						273							8.4	4.5		0.000003818										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	8	2007:09:11:12:59:00.00	SAN						4					273				0.05				0				0	0						273							8.5	6.3		0.000003092										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	9	2007:09:11:13:01:00.00	SAN						4					273				0.06				0				0	0						273							8.2	4.5		0.000002414										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	10	2007:09:11:13:03:00.00	SAN						4					273				0.08				0				0	0						273							7.5	3.3		0.000001489										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	11	2007:09:11:13:06:00.00	SAN						3					273				0.1				0				0	0						273							8.2	7.1		0.0000008846										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	12	2007:09:11:13:08:00.00	SAN						4					273				0.12				0				0	0						273							5.9	4.5		0.0000006487										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204k	mc204k1				mc204k1-LP-DIR-AF	g	u	13	2007:09:11:13:10:00.00	SAN						4					273				0.15				0				0	0						273							6.1	3.8		0.0000004314										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	1	2007:09:11:14:07:00.00	SAN						4					273				0				0				0	0						273							-5.1	8.7		0.00001888										0.3						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	2	2007:09:11:14:09:00.00	SAN						4					273				0.005				0				0	0						273							-2.9	7.9		0.00001366										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	3	2007:09:11:14:10:00.00	SAN						4					273				0.01				0				0	0						273							-2.3	8.2		0.00001004										0.2						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	4	2007:09:11:14:12:00.00	SAN						4					273				0.015				0				0	0						273							-2.8	7.5		0.000008269										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	5	2007:09:11:14:13:00.00	SAN						4					273				0.02				0				0	0						273							-2.1	8.2		0.000007135										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	6	2007:09:11:14:15:00.00	SAN						4					273				0.03				0				0	0						273							-2	7.8		0.00000565										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	7	2007:09:11:14:16:00.00	SAN						4					273				0.04				0				0	0						273							-2.8	7.7		0.000004611										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	8	2007:09:11:14:18:00.00	SAN						4					273				0.05				0				0	0						273							-2	8		0.000003692										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	9	2007:09:11:14:20:00.00	SAN						4					273				0.06				0				0	0						273							-2.6	9		0.000002879										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	10	2007:09:11:14:21:00.00	SAN						4					273				0.08				0				0	0						273							-0.2	8.1		0.000001733										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	11	2007:09:11:14:25:00.00	SAN						3					273				0.1				0				0	0						273							-1.3	9.8		0.000001068										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	12	2007:09:11:14:26:00.00	SAN						4					273				0.12				0				0	0						273							0.8	10.2		0.0000007421										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc204	mc204l	mc204l1				mc204l1-LP-DIR-AF	g	u	13	2007:09:11:14:28:00.00	SAN						4					273				0.15				0				0	0						273							-1.5	14.3		0.0000004997										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	1	2007:08:08:08:17:00.00	SAN						4					273				0				0				0	0						273							-41	298.2		0.00004583										0.3						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	2	2007:08:08:08:29:00.00	SAN						4					273				0.005				0				0	0						273							-40.1	297.8		0.00004495										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	3	2007:08:08:08:33:00.00	SAN						4					273				0.01				0				0	0						273							-40.7	297.2		0.00004349										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	4	2007:08:08:08:34:00.00	SAN						4					273				0.015				0				0	0						273							-40.6	295.7		0.000042										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	5	2007:08:08:08:36:00.00	SAN						4					273				0.02				0				0	0						273							-41.2	294.9		0.00004033										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	6	2007:08:08:08:37:00.00	SAN						4					273				0.03				0				0	0						273							-41.4	295.7		0.00003639										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	7	2007:08:08:08:39:00.00	SAN						4					273				0.04				0				0	0						273							-41.2	296.3		0.00003171										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	8	2007:08:08:08:40:00.00	SAN						4					273				0.05				0				0	0						273							-41.3	294.9		0.00002687										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	9	2007:08:08:08:41:00.00	SAN						4					273				0.06				0				0	0						273							-40.8	296.2		0.00002299										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	10	2007:08:08:08:45:00.00	SAN						3					273				0.08				0				0	0						273							-40.6	296.8		0.00001667										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	11	2007:08:08:08:46:00.00	SAN						4					273				0.1				0				0	0						273							-40.2	296.7		0.00001264										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	12	2007:08:08:08:48:00.00	SAN						4					273				0.12				0				0	0						273							-40.9	296.1		0.000009413										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	13	2007:08:08:08:49:00.00	SAN						4					273				0.15				0				0	0						273							-41.4	299.1		0.000006196										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205a	mc205a1				mc205a1-LP-DIR-AF	g	u	14	2007:08:08:08:51:00.00	SAN						4					273				0.18				0				0	0						273							-44.2	294.8		0.00000395										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	1	2007:09:12:07:42:00.00	SAN						4					273				0				0				0	0						273							-39.5	293.5		0.00003991										0.3						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	2	2007:09:18:07:47:00.00	SAN						4					273				0.005				0				0	0						273							-38.8	292.4		0.00003898										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	3	2007:09:18:07:48:00.00	SAN						4					273				0.01				0				0	0						273							-38.6	289.4		0.00003732										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	4	2007:09:18:07:50:00.00	SAN						4					273				0.015				0				0	0						273							-38.5	290.2		0.00003575										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	5	2007:09:18:07:52:00.00	SAN						4					273				0.02				0				0	0						273							-38.4	288.4		0.0000343										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	6	2007:09:18:07:53:00.00	SAN						4					273				0.03				0				0	0						273							-38.5	288.9		0.00003139										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	7	2007:09:18:07:55:00.00	SAN						4					273				0.04				0				0	0						273							-38.9	287.9		0.00002815										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	8	2007:09:18:07:57:00.00	SAN						4					273				0.05				0				0	0						273							-38.6	288.3		0.00002477										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	9	2007:09:18:07:58:00.00	SAN						4					273				0.06				0				0	0						273							-39	286.9		0.00002161										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	10	2007:09:18:08:04:00.00	SAN						4					273				0.08				0				0	0						273							-38.7	289.4		0.00001666										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	11	2007:09:18:08:08:00.00	SAN						3					273				0.1				0				0	0						273							-38.6	288.9		0.00001284										99.2					average of multiple measurements.	pmagpy-2.155	LT-AF-Z : DE-VM : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	12	2007:09:18:08:13:00.00	SAN						4					273				0.12				0				0	0						273							-40.7	284.9		0.000009897										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	13	2007:09:18:08:15:00.00	SAN						4					273				0.15				0				0	0						273							-41.4	285.1		0.000006708										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205c	mc205c1				mc205c1-LP-DIR-AF	g	u	14	2007:09:18:08:17:00.00	SAN						4					273				0.18				0				0	0						273							-43	274.5		0.000004313										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	1	2007:09:18:08:25:00.00	SAN						4					273				0				0				0	0						273							-34.5	307.8		0.00002682										0.3						pmagpy-2.155	LT-NO : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	2	2007:09:18:08:34:00.00	SAN						4					273				0.005				0				0	0						273							-35.1	304.4		0.00002483										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	3	2007:09:18:10:00:00.00	SAN						4					273				0.01				0				0	0						273							-35	302.4		0.00002242										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	4	2007:09:18:10:06:00.00	SAN						4					273				0.015				0				0	0						273							-35.3	302.4		0.00002045										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	5	2007:09:18:10:09:00.00	SAN						4					273				0.02				0				0	0						273							-35.3	301.6		0.00001892										0.4						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	6	2007:09:18:10:22:00.00	SAN						4					273				0.03				0				0	0						273							-35.1	301.5		0.00001661										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
	McMurdo			mc205	mc205d	mc205d1				mc205d1-LP-DIR-AF	g	u	7	2007:09:18:10:46:00.00	SAN						4					273				0.04				0				0	0						273							-34.8	301.3		0.00001435										0.3						pmagpy-2.155	LT-AF-Z : LP-DIR-AF			This study
